Team,State,Total Matches Played,Total Wins,Win Percentage
Mumbai Indians,Maharashtra,261,142,54.4
Chennai Super Kings,Tamil Nadu,239,138,57.74
Kolkata Knight Riders,West Bengal,252,130,51.58
Royal Challengers Bangalore,Karnataka,256,121,47.26
Delhi Capitals,Delhi,252,112,44.44
Rajasthan Royals,Rajasthan,222,110,49.54
Punjab Kings,Punjab,246,109,44.3
Sunrisers Hyderabad,Telangana,181,87,49.17
Gujarat Titans,Gujarat,45,28,62.22
Lucknow Super Giants,Uttar Pradesh,44,24,54.54
Deccan Chargers,Andhra Pradesh ,75,29,38.66
Rising Pune Supergiant,Maharashtra ,30,15,50.0
Gujarat Lions,Gujarat ,30,13,43.33
Kochi Tuskers Kerala,Kerala,14,6,42.85
Pune Warriors India,Maharashtra,46,12,26.08
